Accession.trimmed,Gene.Symbol
Q9H981,ARP8
O15144,ARPC2
O15145,ARPC3
P59998,ARPC4
O15511,ARPC5
Q7Z6K5,ARPIN
P49407,ARRB1
P32121,ARRB2
P36575,ARRC
Q8N5I2,ARRD1
Q8TBH0,ARRD2
Q96B67,ARRD3
Q8NCT1,ARRD4
A6NEK1,ARRD5
P10523,ARRS
P15289,ARSA
P15848,ARSB
P51689,ARSD
P51690,ARSE
P54793,ARSF
Q96EG1,ARSG
Q5FYA8,ARSH
Q5FYB1,ARSI
Q5FYB0,ARSJ
Q6UWY0,ARSK
Q5T4W7,ARTN
Q9H2C2,ARV1
O00192,ARVC
Q96QS3,ARX
P18440,ARY1
P11245,ARY2
Q9HBK9,AS3MT
P0C7U1,ASA2B
Q13510,ASAH1
Q9NR71,ASAH2
Q9ULH1,ASAP1
O43150,ASAP2
Q8TDY4,ASAP3
Q495Z4,ASAS1
Q8WXI3,ASB10
Q8WXH4,ASB11
Q8WXK4,ASB12
Q8WXK3,ASB13
A6NK59,ASB14
Q8WXK1,ASB15
Q96NS5,ASB16
Q8WXJ9,ASB17
